,Important Words,Coefficient_0,Coefficient_4,Coefficient_10,Coefficient_100,Coefficient_1000,Coefficient_100000
65,crib,0.10092802261635563,0.10035334750197358,0.09950691993306797,0.08870508611149615,0.046870885784438716,0.0007927560344119565
66,clean,0.14333609347458112,0.14244866377208776,0.1411430503016618,0.12466299535712246,0.06613701238409567,0.0015371096015293257
67,way,-0.31302036315593346,-0.31068434198688055,-0.3072452755894628,-0.2636724531906278,-0.11751853005580949,-0.002622565479439919
68,quality,-0.08351720214319892,-0.08299517970125529,-0.0822280909372296,-0.07264483726767576,-0.03936373952632456,-0.001099442818358599
69,thing,-0.16789846626202057,-0.16673967186427033,-0.16503424269186237,-0.14347772988951915,-0.07032580180842224,-0.001859779682733444
70,better,-0.227303866112361,-0.2257611245724779,-0.22348838661835294,-0.19449922365831912,-0.0919375153564202,-0.0021428239858439575
71,without,0.26853378635835035,0.2661437408058903,0.26262206220973255,0.2177302665653054,0.07281558655463505,0.0007964892269841303
72,set,0.17427863048313944,0.17284956489991418,0.17074402391758053,0.14390281283712436,0.055059614906804985,0.00075580878966083
73,new,-0.005375539043160567,-0.00553556442657514,-0.005773224027569951,-0.008979621607712332,-0.017572389826305674,-0.0009413211017404573
74,every,0.15357547377218667,0.15223531737505125,0.1502605804391345,0.1250779529877048,0.042733097203035746,0.0003134688542510699
75,cute,0.08965248392872267,0.08903962383727955,0.08813475478913485,0.07637762321357527,0.03308055893448101,0.0006494670373396119
76,best,0.535033889771777,0.5302646601563841,0.5232359962403252,0.4335264035395383,0.1455905974165038,0.001973679788237248
77,bottles,0.05785489940601235,0.0573864354594919,0.05669672158787068,0.04795075717656914,0.01827516996458596,-7.56049910858411e-05
78,work,-0.5267162903309899,-0.5229118403261271,-0.5173119104685527,-0.44644742962850564,-0.20704709769493593,-0.004781257439844746
79,purchased,-0.08253037071404358,-0.08188653190048487,-0.08093888596722194,-0.06896214224145615,-0.030099350444411917,-0.000797925874690034
80,right,-0.1055710605164237,-0.10481777271071281,-0.10370873091145001,-0.08964323527284591,-0.04159708368822672,-0.0010691351114779323
81,lot,0.24609090121873123,0.24396902362596676,0.24084253946372117,0.20099013561615062,0.07177420106125527,0.0009896720609659895
82,side,0.007114033156978591,0.006975271662649197,0.006770955565995493,0.004190074443131866,-0.0026308871370515972,-0.00026887826397542936
